18/08/2020;00:01:31;26.0
18/08/2020;00:02:31;25.0
18/08/2020;00:03:31;25.0
18/08/2020;00:04:31;25.0
18/08/2020;00:05:31;25.0
18/08/2020;00:06:31;25.0
18/08/2020;00:07:31;24.0
18/08/2020;00:08:31;24.0
18/08/2020;00:09:31;24.0
18/08/2020;00:10:31;26.0
18/08/2020;00:11:31;25.0
18/08/2020;00:12:31;26.0
18/08/2020;00:13:31;26.0
18/08/2020;00:14:31;26.0
18/08/2020;00:15:31;26.0
18/08/2020;00:16:31;25.0
18/08/2020;00:17:31;25.0
18/08/2020;00:18:31;25.0
18/08/2020;00:19:31;25.0
18/08/2020;00:20:31;25.0
18/08/2020;00:21:31;25.0
18/08/2020;00:22:31;26.0
18/08/2020;00:23:31;25.0
18/08/2020;00:24:31;26.0
18/08/2020;00:25:31;26.0
18/08/2020;00:26:31;26.0
18/08/2020;00:27:31;26.0
18/08/2020;00:28:31;26.0
18/08/2020;00:29:31;25.0
18/08/2020;00:31:31;25.0
18/08/2020;00:32:31;25.0
18/08/2020;00:33:31;25.0
18/08/2020;00:34:31;26.0
18/08/2020;00:36:31;28.0
18/08/2020;00:37:31;27.0
18/08/2020;00:38:31;26.0
18/08/2020;00:39:31;26.0
18/08/2020;00:40:31;26.0
18/08/2020;00:41:31;26.0
18/08/2020;00:42:31;26.0
18/08/2020;00:43:31;25.0
18/08/2020;00:44:31;25.0
18/08/2020;00:46:31;26.0
18/08/2020;00:47:31;27.0
18/08/2020;00:48:31;27.0
18/08/2020;00:49:31;27.0
18/08/2020;00:50:31;27.0
18/08/2020;00:51:31;26.0
18/08/2020;00:52:31;26.0
18/08/2020;00:53:31;26.0
18/08/2020;00:54:31;26.0
18/08/2020;00:55:31;26.0
18/08/2020;00:56:31;25.0
18/08/2020;00:57:31;26.0
18/08/2020;00:58:31;27.0
18/08/2020;00:59:31;27.0
18/08/2020;01:00:31;26.0
18/08/2020;01:01:31;27.0
18/08/2020;01:02:31;27.0
18/08/2020;01:03:31;27.0
18/08/2020;01:06:31;26.0
18/08/2020;01:07:31;26.0
18/08/2020;01:08:31;26.0
